asin,main_url,last_visited,child_url,position,name
B074XBLN2J,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=251125.01&high-price=500750.0,2019-12-05T08:44:52,https://www.amazon.in/Rajasthani-Look-Embroidered-Georgette-Mustard/dp/B074XBLN2J/,1,Women's Embroidered Georgette Saree in Mustard
B0721GWD8G,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=126312.51&high-price=251125.0,2019-12-05T08:44:56,https://www.amazon.in/Generic-Georgette-Fashionable-fashion_225-Multicolour/dp/B0721GWD8G/,1,"Women's Maa Fashion Georgette Fashionable Tussar Rayon Saree (maa fashion_225, Multicolour, Free Size)"
B00TH3GVHW,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=126312.51&high-price=251125.0,2019-12-05T08:44:56,https://www.amazon.in/Gehna-Womens-Silk-Saree-Gsrss61514_Pink/dp/B00TH3GVHW/,2,Women's Art Silk Saree (Gsrss61514_Pink)
B077G1TZTX,https://www.amazon.in/s/260-4860518-0891746?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968255031%2Cp_36%3A4595088031&bbn=1968255031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:03,https://www.amazon.in/Vedant-Fashion-Womens-color-Rayon/dp/B077G1TZTX/,1,"Women's Rayon Kurti (Navy Blue, Small)"
B07H9XBCL1,https://www.amazon.in/s/260-4860518-0891746?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968255031%2Cp_36%3A4595088031&bbn=1968255031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:03,https://www.amazon.in/Ashima-Leena-Womens-Straight-AL-008_S_Brown_34/dp/B07H9XBCL1/,2,Women's Straight Kurta
B07H9LVJG5,https://www.amazon.in/s/260-4860518-0891746?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968255031%2Cp_36%3A4595088031&bbn=1968255031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:03,https://www.amazon.in/Ashima-Leena-Womens-AL-003_M_Blue-Pink_36/dp/B07H9LVJG5/,3,Women's A-Line Kurta (Pack of 3)
B07H7SBX11,https://www.amazon.in/s/260-4860518-0891746?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968255031%2Cp_36%3A4595088031&bbn=1968255031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:03,https://www.amazon.in/Ashima-Leena-Womens-Dress-AL-004_S_Gold_34/dp/B07H7SBX11/,4,Women's Dress Suit (Pack of 3) (AL-004_S_Gold_34)
B07H1HQPWX,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/Mayuri-Silk-Palace-Pink-Saree/dp/B07H1HQPWX/,1,Pink Pure Muga Silk Saree
B081CK3TSC,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081CK3TSC/,2,Gaji Silk Gharchola Bandhani Saree Bandhani Handmade Black - Grey
B081CJB7CQ,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081CJB7CQ/,3,Gaji Silk Gharchola Bandhani Saree Bandhani Handmade Blue kutch
B081C94T5Z,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081C94T5Z/,4,Gaji Silk Gharchola Bandhani Saree Bandhani Handmade Green
B081C4Y5W6,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081C4Y5W6/,5,Gaji Silk Gharchola Bandhani Saree Kutch Bandhani Handmade Green - Red
B07V58NYKZ,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/KANHA-Banarasi-Blouse-unique-pattern/dp/B07V58NYKZ/,6,Women Banarasi black Pure silk Saree With Blouse Piece unique pattern
B07V582K4R,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/KANHA-Banarasi-Blouse-unique-pattern/dp/B07V582K4R/,7,Women Banarasi peach gold Pure silk Saree With Blouse Piece unique pattern
B07V57T7XY,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=63906.26&high-price=126312.5,2019-12-05T08:45:06,https://www.amazon.in/KANHA-Women-Banarasi-unique-pattern/dp/B07V57T7XY/,8,Women Banarasi navy blue Pure silk Saree With full zari work unique pattern
